R_IDTOTS_C,R_ID_C,R_EXPEDIENT_C,R_EMPRESA_C,R_ESTADO_FC,R_PROVEEDOR_C,R_FECHA_EMISION_C,R_NUMERO_CP,R_NUMERO_CA,R_NUMERO_CF,R_IMPORTE_C,R_ACUMULADO_C,R_FECHA_ENTREGA,Expediente,Empresa,Data entrega,Estat entrega
1,1,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-17,535275,1,2025/00001,1130.14,1130.14,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
2,2,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-10-17,535296,5,2025/00002,1314.06,2444.2,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
3,3,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-22,537495,10,2025/00005,3714.7,6158.9,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
4,4,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-10-22,537501,10,2025/00005,4319.7,10478.6,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
5,5,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-10-29,540082,13,2025/00006,3780.04,14258.64,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
6,6,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-10-29,540087,15,2025/00010,4126.1,18384.74,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
7,7,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-11-05,542282,17,2025/00008,3523.52,21908.26,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
8,8,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-11-05,542284,17,2025/00013,4467.32,26375.58,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
9,9,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-11-12,544978,20,2025/00013,4038.98,30414.56,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
10,10,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-11-12,544979,18,2025/00017,4481.84,34896.4,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
11,11,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-11-19,547874,22,2025/00017,3518.68,38415.08,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
12,12,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-11-19,547875,22,2025/00018,3574.34,41989.42,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
13,13,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-11-26,551183,23,2025/00021,3695.34,45684.76,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
14,14,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-11-26,551187,27,2025/00022,3947.02,49631.78,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
15,15,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-12-03,554187,27,2025/00024,3605.8,53237.58,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
16,16,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-12-03,554188,31,2025/00027,4157.56,57395.14,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
17,17,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-12-10,556692,30,2025/00028,3780.04,61175.18,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
18,18,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-12-10,556693,32,2025/00032,4414.08,65589.26,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
19,19,5796,ADG32 5796 NSACARES SL,Pagada,ALUBIX SL,2025-12-17,560877,33,2025/00032,3927.66,69516.92,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
20,20,5796,ADG32 5796 NSACARES SL,Pagada,ROCALLA SA,2025-12-17,560878,35,2025/00037,4307.6,73824.52,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
21,21,5796,ADG32 5796 NSACARES SL,Facturada,ALUBIX SL,2025-12-29,561696,34,2025/00034,162.14,73986.66,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
22,22,5796,ADG32 5796 NSACARES SL,Facturada,ROCALLA SA,2025-12-29,561697,39,2025/00041,157.3,74143.96,2025-12-18,5796,ADG32 5796 NSACARES SL,2025-12-18,ENTREGADA
23,1,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-17,535282,5,2025/00003,1274.13,1274.13,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
24,2,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-17,535304,2,2025/00004,1231.78,2505.91,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
25,3,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-22,537485,6,2025/00008,3816.34,6322.25,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
26,4,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-22,537489,7,2025/00005,4205.96,10528.21,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
27,5,6265,ADG32 6265 SMORENO SL,Pagada,ALUBIX SL,2025-10-29,540079,11,2025/00009,3764.31,14292.52,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
28,6,6265,ADG32 6265 SMORENO SL,Pagada,ROCALLA SA,2025-10-29,540091,9,2025/00009,3963.96,18256.48,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
29,7,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-11-05,542308,13,2025/00014,4164.82,22421.3,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
30,8,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-11-05,542324,10,2025/00010,4641.56,27062.86,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
31,9,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-11-12,544980,14,2025/00015,3760.68,30823.54,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
32,10,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-11-12,544983,13,2025/00013,3886.52,34710.06,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
33,11,6265,ADG32 6265 SMORENO SL,Facturada,ALUBIX SL,2025-11-19,547940,15,2025/00018,4780.71,39490.77,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
34,12,6265,ADG32 6265 SMORENO SL,Facturada,ROCALLA SA,2025-11-19,547942,17,2025/00017,3644.52,43135.29,2025-12-19,6265,ADG32 6265 SMORENO SL,2025-12-19,ENTREGADA
