A_IDTOTS_CP,A_CLAU_UNICA_CP,A_ID_CP,A_EXPEDIENT_CP,A_EMPRESA_CP,A_REF_ODOO_CP,A_FECHA_ALTA_ODOO_CP,A_NUMERO_CP,A_FECHA_EMISION_CP,A_PROVEEDOR_CP,A_IMPORTE_CP,A_ACUMULADO_CP,A_ESTADO_CP,A_ESTADO_FACTURACION_CP
1,5796-C-C/00001,1,5796,ADG32 5796 NSACARES SL,C-C/00001,2025-10-17,535296,2025-10-17,ROCALLA SA,1314.06,1314.06,Pedido de compra,Totalmente facturado
2,5796-C-C/00002,2,5796,ADG32 5796 NSACARES SL,C-C/00002,2025-10-17,535275,2025-10-17,ALUBIX SL,1130.14,2444.20,Pedido de compra,Totalmente facturado
3,5796-C-C/00003,3,5796,ADG32 5796 NSACARES SL,C-C/00003,2025-10-22,537495,2025-10-22,ALUBIX SL,3714.70,6158.90,Pedido de compra,Totalmente facturado
4,5796-C-C/00004,4,5796,ADG32 5796 NSACARES SL,C-C/00004,2025-10-22,537501,2025-10-22,ROCALLA SA,4319.70,10478.60,Pedido de compra,Totalmente facturado
5,5796-C-C/00005,5,5796,ADG32 5796 NSACARES SL,C-C/00005,2025-10-29,540082,2025-10-29,ALUBIX SL,3780.04,14258.64,Pedido de compra,Totalmente facturado
6,5796-C-C/00006,6,5796,ADG32 5796 NSACARES SL,C-C/00006,2025-10-29,540087,2025-10-29,ROCALLA SA,4126.10,18384.74,Pedido de compra,Totalmente facturado
7,5796-C-C/00007,7,5796,ADG32 5796 NSACARES SL,C-C/00007,2025-11-05,542282,2025-11-05,ALUBIX SL,3523.52,21908.26,Pedido de compra,Totalmente facturado
8,5796-C-C/00008,8,5796,ADG32 5796 NSACARES SL,C-C/00008,2025-11-05,542284,2025-11-05,ROCALLA SA,4467.32,26375.58,Pedido de compra,Totalmente facturado
9,5796-C-C/00009,9,5796,ADG32 5796 NSACARES SL,C-C/00009,2025-11-12,544979,2025-11-12,ROCALLA SA,4481.84,30857.42,Pedido de compra,Totalmente facturado
10,5796-C-C/00010,10,5796,ADG32 5796 NSACARES SL,C-C/00010,2025-11-12,544978,2025-11-12,ALUBIX SL,4038.98,34896.40,Pedido de compra,Totalmente facturado
11,5796-C-C/00011,11,5796,ADG32 5796 NSACARES SL,C-C/00011,2025-11-19,547875,2025-11-19,ROCALLA SA,3574.34,38470.74,Pedido de compra,Totalmente facturado
12,5796-C-C/00012,12,5796,ADG32 5796 NSACARES SL,C-C/00012,2025-11-19,547874,2025-11-19,ALUBIX SL,3518.68,41989.42,Pedido de compra,Totalmente facturado
13,5796-C-C/00013,13,5796,ADG32 5796 NSACARES SL,C-C/00013,2025-11-26,551187,2025-11-26,ROCALLA SA,3947.02,45936.44,Pedido de compra,Totalmente facturado
14,5796-C-C/00014,14,5796,ADG32 5796 NSACARES SL,C-C/00014,2025-11-26,551183,2025-11-26,ALUBIX SL,3695.34,49631.78,Pedido de compra,Totalmente facturado
15,5796-C-C/00015,15,5796,ADG32 5796 NSACARES SL,C-C/00015,2025-12-04,554188,2025-12-03,ROCALLA SA,4157.56,53789.34,Pedido de compra,Totalmente facturado
16,5796-C-C/00016,16,5796,ADG32 5796 NSACARES SL,C-C/00016,2025-12-04,554187,2025-12-03,ALUBIX SL,3605.80,57395.14,Pedido de compra,Totalmente facturado
17,5796-C-C/00018,17,5796,ADG32 5796 NSACARES SL,C-C/00018,2025-12-11,556693,2025-12-10,ROCALLA SA,4414.08,61809.22,Pedido de compra,Totalmente facturado
18,5796-C-C/00019,18,5796,ADG32 5796 NSACARES SL,C-C/00019,2025-12-11,556692,2025-12-10,ALUBIX SL,3780.04,65589.26,Pedido de compra,Totalmente facturado
19,5796-C-C/00020,19,5796,ADG32 5796 NSACARES SL,C-C/00020,2025-12-18,560877,2025-12-17,ALUBIX SL,3927.66,69516.92,Pedido de compra,Totalmente facturado
20,5796-C-C/00021,20,5796,ADG32 5796 NSACARES SL,C-C/00021,2025-12-18,560878,2025-12-17,ROCALLA SA,4307.60,73824.52,Pedido de compra,Totalmente facturado
21,6265-C-C/00001,1,6265,ADG32 6265 SMORENO SL,C-C/00001,2025-10-17,535282,2025-10-17,ALUBIX SL,1274.13,1274.13,Pedido de compra,Totalmente facturado
22,6265-C-C/00002,2,6265,ADG32 6265 SMORENO SL,C-C/00002,2025-10-17,535304,2025-10-17,ROCALLA SA,1231.78,2505.91,Pedido de compra,Totalmente facturado
23,6265-C-C/00003,3,6265,ADG32 6265 SMORENO SL,C-C/00003,2025-10-22,537485,2025-10-22,ALUBIX SL,3816.34,6322.25,Pedido de compra,Totalmente facturado
24,6265-C-C/00004,4,6265,ADG32 6265 SMORENO SL,C-C/00004,2025-10-22,537489,2025-10-22,ROCALLA SA,4205.96,10528.21,Pedido de compra,Totalmente facturado
25,6265-C-C/00005,5,6265,ADG32 6265 SMORENO SL,C-C/00005,2025-10-29,540079,2025-10-29,ALUBIX SL,3764.31,14292.52,Pedido de compra,Totalmente facturado
